User Input (Symptoms),Disease
I’ve been getting painful blisters on my lips that are very sensitive.,Cold Sores (Herpes Simplex Virus 1)
"I feel lightheaded, have a racing heart, and sometimes get faint.",Panic Attack
"My stomach is upset, I feel bloated, and I’ve been having diarrhea.",Lactose Intolerance
"I’m feeling very tired, and I’ve noticed some dark spots on my skin.",Addison's Disease
I’ve been waking up with a dry mouth and feeling very thirsty during the day.,Diabetes Mellitus (Type 2)
"I’ve been feeling really nauseous, and I’m not able to keep food down.",Gastritis
"I feel very stiff in the mornings, and my joints ache, especially in the fingers and knees.",Osteoarthritis
"I’ve been having chest pain, sweating, and feeling dizzy.",Angina Pectoris
I feel nauseous and have a lot of gas and bloating in my stomach.,Gastroesophageal Reflux Disease (GERD)
I have severe pain on the side of my face and it’s getting worse with chewing.,Temporomandibular Joint Disorder (TMJ)
"I feel faint, have a headache, and my skin looks pale.",Anemia
"My hands shake a lot, especially when I’m trying to hold something steady.",Parkinson's Disease
"I feel feverish, and I’m having trouble breathing deeply.",Pneumonia
"I’ve had severe abdominal pain, nausea, and diarrhea.",Crohn’s Disease
"My muscles ache, and I’ve had trouble concentrating. I also feel more tired than usual.",Fibromyalgia
"I’ve been feeling anxious, and I’m sweating a lot more than usual.",Hyperthyroidism
"I have a rash that looks like small, red bumps and it’s spread from my chest to my arms.",Hives (Urticaria)
"I have difficulty breathing, especially when lying down, and I’m coughing a lot at night.",Heart Failure
"I’ve been waking up with a sore throat, and I feel tired during the day.",Sleep Apnea
"I’ve had a fever, and I’m feeling chills and sweating.",Malaria
"I’m feeling really dizzy and sometimes faint, especially when I stand up.",Orthostatic Hypotension
"I have swelling around my eyes, a stuffy nose, and some facial pain.",Sinus Infection (Sinusitis)
I’m feeling really weak and my muscles are sore.,Influenza
"I’ve been experiencing persistent, severe headaches with nausea and vision changes.",Migraine
"I feel really tired, have cold hands and feet, and my hair is thinning.",Hypothyroidism
"I’ve been feeling irritable, sweating a lot, and sometimes shaking.",Hypoglycemia
"I’m feeling dizzy, have chest pain, and my legs are swollen.",Deep Vein Thrombosis (DVT)
"I’ve had swollen lymph nodes, a sore throat, and a fever for a few days.",Infectious Mononucleosis (Mono)
"I’ve been coughing up mucus that is green or yellow, and I feel short of breath.",Bronchitis
I feel like my heart is racing and I’m sweating more than usual.,Hyperthyroidism
"I’ve been feeling nauseous and vomiting frequently, especially after eating.",Gallbladder Disease
"I’ve been experiencing severe joint pain, especially in my knees, and my skin is becoming red and swollen.",Rheumatoid Arthritis
"I have a persistent sore throat, difficulty swallowing, and a low-grade fever.",Tonsillitis
"I’m feeling very weak, and I’ve noticed my legs are swollen and heavy.",Chronic Venous Insufficiency
I’ve been feeling short of breath when climbing stairs and my ankles are swelling.,Congestive Heart Failure
"I’ve been having trouble falling asleep, and I wake up feeling tired with a headache.",Sleep Apnea
"I’ve had ringing in my ears, dizziness, and a feeling of fullness in one ear.",Meniere's Disease
"I’ve been feeling excessively hungry, and I’m constantly thirsty, even after drinking a lot.",Diabetes Mellitus (Type 2)
I’ve been feeling itchy and have developed small blisters on my hands and feet.,"Hand, Foot, and Mouth Disease"
"I’ve been getting leg cramps at night, and my muscles feel sore and weak.",Electrolyte Imbalance
"I feel feverish, have body aches, and my throat hurts when I swallow.",Influenza
"I’ve had diarrhea for over a week, and I’m feeling very fatigued.",Gastroenteritis
"I have a sharp, stabbing pain in my chest, and it worsens when I breathe in deeply.",Pleurisy
I feel full after eating only a small amount of food and have nausea.,Gastroparesis
"I’ve been losing weight without trying, and I’m feeling really thirsty and tired all the time.",Hyperthyroidism
"I have a constant headache, sensitivity to light, and feel nauseous.",Migraine
"I’m feeling lightheaded, with blurred vision, and my hands are shaking.",Hypoglycemia
"I’ve been experiencing excessive thirst and frequent urination, and I feel fatigued.",Diabetes Insipidus
